index,x,y,snippet,href
1977,4270.716,16.65,e',textedit:///work/_3/m130_133.ly:14:16:17
1978,4273.469,15.15,a',textedit:///work/_3/m130_133.ly:14:27:28
1979,4275.721,16.65,e',textedit:///work/_3/m130_133.ly:14:40:41
1980,4277.974,17.65,cis',textedit:///work/_3/m130_133.ly:14:53:54
1981,4280.374,16.65,e',textedit:///work/_3/m130_133.ly:6:13:14
1982,4282.174,18.15,b,textedit:///work/_3/m130_133.ly:14:76:77
1983,4283.974,16.65,e',textedit:///work/_3/m130_133.ly:6:19:20
1984,4285.774,17.65,cis',textedit:///work/_3/m130_133.ly:14:100:101
1985,4287.574,16.65,e',textedit:///work/_3/m130_133.ly:6:24:25
1986,4289.374,18.65,a,textedit:///work/_3/m130_133.ly:14:126:127
1987,4291.174,16.65,e',textedit:///work/_3/m130_133.ly:6:29:30
1988,4294.908,34.294,"e,",textedit:///work/_3/m130_133.ly:24:2:3
1989,4294.908,18.15,b,textedit:///work/_3/m130_133.ly:15:6:7
1990,4297.661,16.65,e',textedit:///work/_3/m130_133.ly:15:16:17
1991,4300.414,15.65,gis',textedit:///work/_3/m130_133.ly:15:27:28
1992,4302.666,16.65,e',textedit:///work/_3/m130_133.ly:15:40:41
1993,4304.919,18.15,b,textedit:///work/_3/m130_133.ly:15:53:54
1994,4307.319,16.65,e',textedit:///work/_3/m130_133.ly:7:13:14
1995,4309.119,18.65,a,textedit:///work/_3/m130_133.ly:15:76:77
1996,4310.919,16.65,e',textedit:///work/_3/m130_133.ly:7:19:20
1997,4312.719,34.294,"e,",textedit:///work/_3/m130_133.ly:24:10:11
1998,4312.719,18.15,b,textedit:///work/_3/m130_133.ly:15:100:101
1999,4314.519,16.65,e',textedit:///work/_3/m130_133.ly:7:24:25
2000,4316.319,29.794,gis,textedit:///work/_3/m130_133.ly:24:14:15
2001,4316.319,19.15,gis,textedit:///work/_3/m130_133.ly:15:126:127
2002,4318.119,16.65,e',textedit:///work/_3/m130_133.ly:7:29:30
2003,4321.824,30.294,fis,textedit:///work/_3/m130_133.ly:25:2:3
2004,4321.824,18.65,a,textedit:///work/_3/m130_133.ly:16:6:7
2005,4324.577,16.65,e',textedit:///work/_3/m130_133.ly:16:16:17
2006,4327.08,29.294,a,textedit:///work/_3/m130_133.ly:25:6:7
2007,4327.08,16.15,fis',textedit:///work/_3/m130_133.ly:16:27:28
2008,4329.583,29.794,gis,textedit:///work/_3/m130_133.ly:25:10:11
2009,4329.583,16.65,e',textedit:///work/_3/m130_133.ly:16:40:41
2010,4332.086,29.294,a,textedit:///work/_3/m130_133.ly:25:14:15
2011,4332.086,17.15,dis',textedit:///work/_3/m130_133.ly:16:53:54
2012,4334.338,18.15,b,textedit:///work/_3/m130_133.ly:16:66:67
2013,4337.091,30.294,fis,textedit:///work/_3/m130_133.ly:25:17:18
2014,4337.091,17.15,dis',textedit:///work/_3/m130_133.ly:16:76:77
2015,4339.594,16.65,e',textedit:///work/_3/m130_133.ly:16:88:89
2016,4342.097,31.294,dis,textedit:///work/_3/m130_133.ly:25:21:22
2017,4342.097,16.15,fis',textedit:///work/_3/m130_133.ly:16:100:101
2018,4344.35,18.15,b,textedit:///work/_3/m130_133.ly:16:115:116
2019,4347.102,30.294,fis,textedit:///work/_3/m130_133.ly:25:25:26
2020,4347.102,16.15,fis',textedit:///work/_3/m130_133.ly:16:126:127
2021,4349.605,15.65,gis',textedit:///work/_3/m130_133.ly:16:139:140
2022,4353.176,32.294,"b,",textedit:///work/_3/m134_end.ly:33:2:3
2023,4353.176,18.15,b,textedit:///work/_3/m134_end.ly:15:8:9
2024,4353.176,16.15,fis',textedit:///work/_3/m134_end.ly:15:15:16
2025,4353.176,15.15,a',textedit:///work/_3/m134_end.ly:7:6:7
2026,4358.781,14.65,b',textedit:///work/_3/m134_end.ly:7:17:18
2027,4362.484,30.794,e,textedit:///work/_3/m134_end.ly:33:6:7
2028,4362.484,23.65,"e,",textedit:///work/_3/m134_end.ly:15:33:34
2029,4362.484,18.15,b,textedit:///work/_3/m134_end.ly:15:38:39
2030,4362.484,16.65,e',textedit:///work/_3/m134_end.ly:15:42:43
2031,4362.484,15.65,gis',textedit:///work/_3/m134_end.ly:7:23:24
2032,4368.632,29.294,a,textedit:///work/_3/m134_end.ly:34:2:3
2033,4368.632,22.15,"a,",textedit:///work/_3/m134_end.ly:16:8:9
2034,4368.632,17.65,cis',textedit:///work/_3/m134_end.ly:16:14:15
2035,4368.632,16.65,e',textedit:///work/_3/m134_end.ly:16:22:23
2036,4368.632,15.65,gis',textedit:///work/_3/m134_end.ly:8:6:7
2037,4371.135,15.15,a',textedit:///work/_3/m134_end.ly:8:21:22
2038,4373.638,15.65,gis',textedit:///work/_3/m134_end.ly:8:29:30
2039,4376.141,15.15,a',textedit:///work/_3/m134_end.ly:8:37:38
2040,4377.944,16.15,fis',textedit:///work/_3/m134_end.ly:8:45:46
2041,4379.846,28.794,b,textedit:///work/_3/m134_end.ly:34:5:6
2042,4379.846,21.65,"b,",textedit:///work/_3/m134_end.ly:16:31:32
2043,4379.846,15.65,gis',textedit:///work/_3/m134_end.ly:8:80:81
2044,4381.949,16.15,fis',textedit:///work/_3/m134_end.ly:8:90:91
2045,4384.052,15.65,gis',textedit:///work/_3/m134_end.ly:8:98:99
2046,4386.155,16.15,fis',textedit:///work/_3/m134_end.ly:8:110:111
2047,4388.555,32.294,"b,",textedit:///work/_3/m134_end.ly:34:7:8
2048,4388.555,21.65,"b,",textedit:///work/_3/m134_end.ly:16:40:41
2049,4388.555,18.65,a,textedit:///work/_3/m134_end.ly:16:46:47
2050,4390.955,16.65,e',textedit:///work/_3/m134_end.ly:8:119:120
2051,4395.761,30.794,e,textedit:///work/_3/m134_end.ly:35:2:3
2052,4395.761,23.65,"e,",textedit:///work/_3/m134_end.ly:9:8:9
2053,4395.761,19.15,gis,textedit:///work/_3/m134_end.ly:9:14:15
2054,4395.761,16.65,e',textedit:///work/_3/m134_end.ly:9:21:22
2055,4398.161,13.15,e'',textedit:///work/_3/m134_end.ly:18:10:11
2056,4400.664,13.65,dis'',textedit:///work/_3/m134_end.ly:18:19:20
2057,4403.167,14.15,cis'',textedit:///work/_3/m134_end.ly:18:28:29
2058,4405.67,14.65,b',textedit:///work/_3/m134_end.ly:18:39:40
2059,4408.07,13.15,e'',textedit:///work/_3/m134_end.ly:9:34:35
2060,4410.024,15.15,a',textedit:///work/_3/m134_end.ly:18:48:49
2061,4411.978,13.15,e'',textedit:///work/_3/m134_end.ly:9:45:46
2062,4413.778,15.65,gis',textedit:///work/_3/m134_end.ly:18:56:57
2063,4415.578,13.15,e'',textedit:///work/_3/m134_end.ly:9:53:54
2064,4417.378,16.15,fis',textedit:///work/_3/m134_end.ly:18:66:67
2065,4419.178,13.15,e'',textedit:///work/_3/m134_end.ly:9:61:62
2066,4422.785,16.65,e',textedit:///work/_3/m134_end.ly:10:6:7
2067,4425.185,16.65,e',textedit:///work/_3/m134_end.ly:20:10:11
2068,4427.688,34.294,"e,",textedit:///work/_3/m134_end.ly:36:6:7
2069,4427.688,17.15,dis',textedit:///work/_3/m134_end.ly:20:19:20
2070,4430.19,17.65,cis',textedit:///work/_3/m134_end.ly:20:28:29
2071,4432.693,34.294,"e,",textedit:///work/_3/m134_end.ly:36:10:11
2072,4432.693,18.15,b,textedit:///work/_3/m134_end.ly:20:39:40
2073,4435.093,16.65,e',textedit:///work/_3/m134_end.ly:10:33:34
2074,4436.893,34.294,"e,",textedit:///work/_3/m134_end.ly:36:14:15
2075,4436.893,18.65,a,textedit:///work/_3/m134_end.ly:20:48:49
2076,4438.693,16.65,e',textedit:///work/_3/m134_end.ly:10:44:45
2077,4440.493,34.294,"e,",textedit:///work/_3/m134_end.ly:36:18:19
2078,4440.493,19.15,gis,textedit:///work/_3/m134_end.ly:20:65:66
2079,4442.293,16.65,e',textedit:///work/_3/m134_end.ly:10:52:53
2080,4444.093,34.294,"e,",textedit:///work/_3/m134_end.ly:36:22:23
2081,4444.093,19.65,fis,textedit:///work/_3/m134_end.ly:20:75:76
2082,4445.893,16.65,e',textedit:///work/_3/m134_end.ly:10:60:61
2083,4449.523,34.294,"e,",textedit:///work/_3/m134_end.ly:38:2:3
2084,4449.523,20.15,e,textedit:///work/_3/m134_end.ly:23:2:3
2085,4452.273,19.15,gis,textedit:///work/_3/m134_end.ly:23:21:22
2086,4455.026,18.15,b,textedit:///work/_3/m134_end.ly:23:28:29
2087,4457.779,17.15,dis',textedit:///work/_3/m134_end.ly:23:33:34
2088,4460.282,16.65,e',textedit:///work/_3/m134_end.ly:23:42:43
2089,4462.784,23.65,"e,",textedit:///work/_3/m134_end.ly:25:6:7
2090,4462.787,15.65,gis',textedit:///work/_3/m134_end.ly:25:9:10
2091,4465.537,14.65,b',textedit:///work/_3/m134_end.ly:26:4:5
2092,4468.037,17.15,dis',textedit:///work/_3/m134_end.ly:27:6:7
2093,4468.04,13.65,dis'',textedit:///work/_3/m134_end.ly:27:11:12
2094,4471.04,13.15,e'',textedit:///work/_3/m134_end.ly:28:4:5
