index,x,y,snippet,href
827,1834.963,30.65,dis,textedit:///work/_1/m051_058.ly:60:9:10
828,1834.963,15.511,fis',textedit:///work/_1/m051_058.ly:34:63:64
829,1837.717,14.011,b',textedit:///work/_1/m051_058.ly:34:72:73
830,1839.971,29.65,fis,textedit:///work/_1/m051_058.ly:60:13:14
831,1839.971,15.511,fis',textedit:///work/_1/m051_058.ly:34:77:78
832,1842.475,16.011,e',textedit:///work/_1/m051_058.ly:34:82:83
833,1844.979,28.15,b,textedit:///work/_1/m051_058.ly:60:17:18
834,1844.979,16.511,dis',textedit:///work/_1/m051_058.ly:34:89:90
835,1847.734,15.511,fis',textedit:///work/_1/m051_058.ly:34:96:97
836,1849.988,16.511,dis',textedit:///work/_1/m051_058.ly:34:101:102
837,1852.492,17.011,cis',textedit:///work/_1/m051_058.ly:34:106:107
838,1856.024,17.511,b,textedit:///work/_1/m051_058.ly:35:2:3
839,1858.779,14.011,b',textedit:///work/_1/m051_058.ly:35:9:10
840,1861.033,31.65,"b,",textedit:///work/_1/m051_058.ly:61:6:7
841,1861.033,15.511,fis',textedit:///work/_1/m051_058.ly:35:12:13
842,1863.537,16.011,e',textedit:///work/_1/m051_058.ly:35:17:18
843,1866.041,30.65,dis,textedit:///work/_1/m051_058.ly:61:9:10
844,1866.041,16.511,dis',textedit:///work/_1/m051_058.ly:35:24:25
845,1868.795,15.511,fis',textedit:///work/_1/m051_058.ly:35:31:32
846,1871.05,29.65,fis,textedit:///work/_1/m051_058.ly:61:13:14
847,1871.05,16.511,dis',textedit:///work/_1/m051_058.ly:35:36:37
848,1873.554,17.011,cis',textedit:///work/_1/m051_058.ly:35:41:42
849,1876.058,28.15,b,textedit:///work/_1/m051_058.ly:61:17:18
850,1876.058,17.511,b,textedit:///work/_1/m051_058.ly:35:48:49
851,1878.812,16.511,dis',textedit:///work/_1/m051_058.ly:35:55:56
852,1881.066,31.65,"b,",textedit:///work/_1/m051_058.ly:61:19:20
853,1881.066,17.511,b,textedit:///work/_1/m051_058.ly:35:60:61
854,1883.571,18.011,a,textedit:///work/_1/m051_058.ly:35:65:66
855,1887.203,30.15,e,textedit:///work/_1/m051_058.ly:63:2:3
856,1887.203,18.511,gis,textedit:///work/_1/m051_058.ly:46:6:7
857,1890.038,16.511,d',textedit:///work/_1/m051_058.ly:40:10:11
858,1892.542,16.011,e',textedit:///work/_1/m051_058.ly:40:15:16
859,1895.046,16.511,d',textedit:///work/_1/m051_058.ly:40:18:19
860,1897.8,15.011,gis',textedit:///work/_1/m051_058.ly:40:23:24
861,1900.054,16.511,d',textedit:///work/_1/m051_058.ly:40:30:31
862,1902.809,14.011,b',textedit:///work/_1/m051_058.ly:40:33:34
863,1905.063,16.511,d',textedit:///work/_1/m051_058.ly:40:37:38
864,1907.817,15.011,gis',textedit:///work/_1/m051_058.ly:40:42:43
865,1910.071,16.511,d',textedit:///work/_1/m051_058.ly:40:49:50
866,1912.575,16.011,e',textedit:///work/_1/m051_058.ly:40:52:53
867,1915.08,16.511,d',textedit:///work/_1/m051_058.ly:40:55:56
868,1918.778,33.65,"e,",textedit:///work/_1/m051_058.ly:64:2:3
869,1918.778,18.511,gis,textedit:///work/_1/m051_058.ly:47:6:7
870,1921.613,16.511,d',textedit:///work/_1/m051_058.ly:41:10:11
